DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
BFS-1000,Cash Recycler,Cisco,Model-Y55,v0.9,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1001,Cash Recycler,NCR,Model-X40,v4.4,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1002,Cash Recycler,NCR,Model-Y10,v0.7,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1003,ATM Controller,Diebold,Model-Z23,v4.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1004,Biometric Scanner,Cisco,Model-Z67,v2.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1005,Cash Recycler,Cisco,Model-Z90,v4.8,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1006,Biometric Scanner,Diebold,Model-Z96,v2.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1007,Branch Router,Cisco,Model-Z72,v3.7,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1008,Biometric Scanner,Diebold,Model-Z49,v4.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1009,Biometric Scanner,Cisco,Model-Y20,v2.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1010,Branch Router,NCR,Model-Z80,v2.5,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1011,Video Surveillance,NCR,Model-Y33,v2.2,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1012,Video Surveillance,Diebold,Model-Y87,v0.4,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
BFS-1013,Video Surveillance,Diebold,Model-Z61,v3.6,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
