DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
HEA-1000,Infusion Pump,Philips,Model-X0,v2.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1001,Patient Monitor,Philips,Model-X53,v1.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1002,Lab Analyzer,Philips,Model-Z36,v1.9,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1003,MRI Scanner,Drager,Model-Z64,v0.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1004,MRI Scanner,GE Healthcare,Model-X67,v2.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1005,X-Ray Machine,Drager,Model-Z31,v3.9,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1006,Patient Monitor,Medtronic,Model-Y89,v2.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1007,Patient Monitor,Drager,Model-Z67,v2.1,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1008,Patient Monitor,Medtronic,Model-Y68,v3.0,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1009,Patient Monitor,Philips,Model-Z77,v0.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1010,Infusion Pump,Philips,Model-Z64,v4.7,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1011,MRI Scanner,Medtronic,Model-Y99,v1.9,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1012,MRI Scanner,Philips,Model-Z30,v2.2,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1013,Patient Monitor,Philips,Model-X57,v1.1,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1014,Lab Analyzer,Drager,Model-Z97,v0.5,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1015,Lab Analyzer,Medtronic,Model-Y19,v1.2,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1016,X-Ray Machine,Medtronic,Model-Z75,v4.3,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1017,Lab Analyzer,GE Healthcare,Model-Y30,v1.6,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1018,Lab Analyzer,GE Healthcare,Model-X16,v4.1,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1019,Patient Monitor,Medtronic,Model-X78,v2.1,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1020,Infusion Pump,GE Healthcare,Model-Y81,v2.5,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1021,Lab Analyzer,GE Healthcare,Model-Z89,v3.5,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1022,MRI Scanner,Drager,Model-Y76,v0.9,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
