DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
LOG-1000,Barcode Scanner,Cognex,Model-Z29,v1.6,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1001,Automated Forklift,Toyota,Model-Z54,v0.3,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1002,Sorting Machine,Honeywell,Model-X37,v0.2,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1003,Fleet Tracker,Honeywell,Model-Z7,v1.8,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1004,Barcode Scanner,Zebra,Model-Y93,v3.8,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1005,Fleet Tracker,Honeywell,Model-X93,v0.3,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1006,Barcode Scanner,Honeywell,Model-Z90,v4.1,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1007,RFID Reader,Zebra,Model-Y1,v3.3,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1008,Barcode Scanner,Zebra,Model-Y51,v3.0,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1009,Sorting Machine,Toyota,Model-Z45,v1.4,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1010,Sorting Machine,Zebra,Model-Z86,v3.5,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1011,Fleet Tracker,Cognex,Model-Z85,v0.8,2021-01-01,Zone-2,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1012,Barcode Scanner,Toyota,Model-Y41,v4.9,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1013,Sorting Machine,Cognex,Model-Y49,v0.4,2021-01-01,Zone-2,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1014,Barcode Scanner,Zebra,Model-X48,v2.4,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
LOG-1015,Fleet Tracker,Zebra,Model-X96,v1.7,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1016,Sorting Machine,Toyota,Model-Z58,v4.4,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1017,RFID Reader,Honeywell,Model-Z85,v0.1,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1018,Fleet Tracker,Zebra,Model-Y51,v2.0,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1019,Sorting Machine,Zebra,Model-Y24,v3.3,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1020,Barcode Scanner,Zebra,Model-Z68,v4.7,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1021,Automated Forklift,Zebra,Model-X34,v1.7,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1022,Automated Forklift,Cognex,Model-Y96,v3.7,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1023,RFID Reader,Cognex,Model-Z24,v3.6,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1024,Fleet Tracker,Toyota,Model-X35,v0.9,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
LOG-1025,Automated Forklift,Honeywell,Model-Z72,v1.5,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1026,Fleet Tracker,Honeywell,Model-Z76,v3.2,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1027,RFID Reader,Honeywell,Model-Z14,v1.3,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1028,Fleet Tracker,Honeywell,Model-Y23,v1.8,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1029,Fleet Tracker,Cognex,Model-X78,v1.0,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1030,RFID Reader,Honeywell,Model-Z88,v3.4,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1031,Automated Forklift,Zebra,Model-X44,v1.3,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1032,Sorting Machine,Toyota,Model-Y9,v4.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1033,Automated Forklift,Cognex,Model-Z58,v0.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1034,Fleet Tracker,Honeywell,Model-X46,v2.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1035,RFID Reader,Honeywell,Model-Y84,v0.3,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1036,RFID Reader,Toyota,Model-X9,v3.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1037,Fleet Tracker,Toyota,Model-Y89,v4.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1038,Sorting Machine,Toyota,Model-X61,v2.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1039,Automated Forklift,Cognex,Model-Y47,v0.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1040,Automated Forklift,Zebra,Model-Y12,v2.5,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1041,RFID Reader,Zebra,Model-Y51,v1.9,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1042,Sorting Machine,Cognex,Model-X2,v0.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1043,Fleet Tracker,Zebra,Model-Z24,v3.7,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1044,Fleet Tracker,Honeywell,Model-Y33,v1.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1045,Automated Forklift,Toyota,Model-Z77,v0.7,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1046,Fleet Tracker,Honeywell,Model-X81,v2.7,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1047,Fleet Tracker,Honeywell,Model-X74,v1.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1048,RFID Reader,Zebra,Model-X93,v0.6,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1049,Sorting Machine,Honeywell,Model-Z91,v1.8,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
