DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
LOG-1000,Automated Forklift,Cognex,Model-X89,v0.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1001,RFID Reader,Toyota,Model-X68,v4.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1002,Sorting Machine,Toyota,Model-Z15,v3.1,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1003,Barcode Scanner,Toyota,Model-Y2,v3.8,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1004,Barcode Scanner,Cognex,Model-Y59,v3.0,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1005,Barcode Scanner,Cognex,Model-Z27,v2.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1006,Barcode Scanner,Honeywell,Model-Y56,v0.8,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1007,Barcode Scanner,Toyota,Model-X15,v0.7,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1008,Sorting Machine,Zebra,Model-X60,v3.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1009,Automated Forklift,Cognex,Model-X3,v3.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1010,Sorting Machine,Zebra,Model-Z49,v3.0,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1011,Sorting Machine,Zebra,Model-X3,v3.4,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
LOG-1012,RFID Reader,Zebra,Model-Z89,v2.1,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
