DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
OTH-1000,Smart Thermostat,Polycom,Model-Y43,v3.4,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1001,Security Camera,Ring,Model-Y17,v0.9,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1002,Access Control,Polycom,Model-X11,v1.1,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1003,Security Camera,Nest,Model-X80,v2.8,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1004,VoIP Phone,Nest,Model-Y4,v2.3,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1005,Printer,HP,Model-Y10,v3.6,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1006,VoIP Phone,Nest,Model-Y51,v0.2,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1007,VoIP Phone,HID,Model-X88,v3.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1008,Security Camera,HP,Model-Y37,v2.4,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1009,Security Camera,Ring,Model-Z94,v1.8,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1010,Smart Thermostat,Nest,Model-X3,v4.8,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1011,VoIP Phone,HP,Model-Z14,v4.7,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1012,Access Control,Nest,Model-X55,v0.0,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1013,Printer,Nest,Model-Z90,v1.9,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1014,Smart Thermostat,HID,Model-Z92,v0.3,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
